Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2019.0,18111,1,PETROL,GJ-06,Manual,HatchBack,654000,Hyundai,GRAND I10
2021.0,11041,1,PETROL,MP-04,Manual,HatchBack,529000,Hyundai,NEW SANTRO
2020.0,74490,1,PETROL,UP-32,Manual,Sedan,602000,Maruti,Dzire
2020.0,29284,1,PETROL,GJ-01,Automatic,HatchBack,713000,Hyundai,GRAND I10
2019.0,81694,1,CNG,HR-10,Manual,HatchBack,537000,Maruti,Swift
2018.0,72038,3,DIESEL,MP-09,Manual,Sedan,576000,Maruti,Dzire
2013.0,57512,1,PETROL,MH-02,Manual,Sedan,467000,Maruti,Swift Dzire
2019.0,37732,1,PETROL,MP-09,Manual,HatchBack,601000,Maruti,Swift
2018.0,51133,1,DIESEL,UP-32,Manual,Sedan,630000,Maruti,Dzire
2019.0,47944,1,PETROL,DL-7C,Manual,SUV,762000,Renault,Duster
2017.0,33493,1,PETROL,KA-01,Automatic,SUV,777000,Ford,Ecosport
2017.0,21083,1,PETROL,GJ-01,Manual,HatchBack,544000,Maruti,Swift
2020.0,44616,1,DIESEL,BR-01,Manual,SUV,1740000,Tata,Other
2019.0,53219,1,PETROL,GJ-01,Manual,HatchBack,628000,Maruti,Baleno
2010.0,60180,2,PETROL,HR-20,Manual,HatchBack,177000,Maruti,Alto K10
2022.0,5758,1,DIESEL,GJ-01,Automatic,SUV,1431000,KIA,SONET
2017.0,89581,1,PETROL,TS-05,Manual,HatchBack,646000,Maruti,Baleno
2018.0,52698,1,PETROL,DL-8C,Manual,Sedan,361000,Maruti,Ciaz
2019.0,47262,1,PETROL,PB-70,Manual,HatchBack,605000,Maruti,Swift
2017.0,16634,2,PETROL,KA-51,Manual,HatchBack,533000,Hyundai,Grand i10
2014.0,54759,1,PETROL,CH-01,Manual,Sedan,508000,Honda,City
2013.0,48444,1,PETROL,KA-36,Manual,HatchBack,286000,Maruti,Alto 800
2015.0,42976,1,PETROL,MH-05,Automatic,Sedan,476000,Maruti,Swift Dzire
2017.0,52382,1,PETROL,KA-25,Manual,HatchBack,676000,Maruti,Swift
2012.0,24918,2,PETROL,MH-02,Manual,HatchBack,269000,Hyundai,i10
2018.0,44315,1,PETROL,TS-08,Manual,HatchBack,467000,Tata,Tiago
